Chikkalasandra,12.90884,77.549113,30,0,107,1,106,7,203,454,5723,108,94,63,7,7,7,68,7,7,7,7,72
Chudenapura,12.899154,77.487312,68,29,79,14,53,0,129,372,6261,88,78,52,5,5,5,55,5,5,5,5,59
Dasarahalli(Srinagar),34.096743,74.819956,17,5,24,1,28,0,49,124,2845,29,25,17,2,2,2,18,2,2,2,2,19
Deepanjalinagar,12.948028,77.534891,52,2,48,5,58,3,168,336,6050,80,70,46,5,5,5,50,5,5,5,5,53
Dharmaram College,18.304727,79.488492,9,0,39,0,67,0,6,121,4459,28,25,16,2,2,2,18,2,2,2,2,19
Doddakallasandra,12.882315,77.557007,11,0,30,0,31,1,29,102,2754,24,21,14,1,1,1,15,1,1,1,1,16
Electronics City,23.166621,85.586623,3,0,0,0,3,0,0,6,4311,1,1,0,0,0,0,0,0,0,0,0,0
Gaviopuram Extension,11.012572,77.006013,53,2,26,11,196,123,181,592,2603,141,124,82,9,9,9,88,9,9,9,9,94
Girinagar,15.426311,75.007939,0,0,0,0,0,0,0,0,2640,0,0,0,0,0,0,0,0,0,0,0,0
Gottigere,12.85888,77.589142,14,0,48,0,49,7,10,128,4754,30,26,17,2,2,2,19,2,2,2,2,20
Governmemnt Electric Factory,12.987076,78.167228,15,3,3,0,43,17,24,105,5720,25,21,14,2,2,2,15,2,2,2,2,16
Haragadde,12.7637,77.655267,40,0,128,47,71,0,0,286,5822,68,60,40,4,4,4,42,4,4,4,4,45
Hennagara,12.788199,77.672756,61,0,54,12,72,0,40,239,3701,57,49,33,3,3,3,35,3,3,3,3,38
HSR Layout,12.911819,77.64416,128,9,313,24,123,0,371,968,931,232,202,135,14,14,14,145,14,14,14,14,154
Hulimangala,12.819291,77.638514,73,0,94,12,315,9,85,588,5717,141,123,82,8,8,8,88,8,8,8,8,94
Hulimavu,12.877199,77.595346,22,0,25,1,91,3,65,207,1343,49,43,28,3,3,3,31,3,3,3,3,32
Hulimavu,12.877199,77.595346,33,3,32,2,36,0,37,143,2584,34,30,20,2,2,2,21,2,2,2,2,22
